Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
250330 Cachoeira dos Índios;6.0;9.0;1.0;7.0;0.0;3.0;0.0;0.0;19.0;11.0;4.0;0.0;0.0;3.0;0.0;0.0;1.0;5.0;4.0;73.0;250330
250340 Cacimba de Areia;1.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;3.0;19.0;250340
250350 Cacimba de Dentro;7.0;12.0;1.0;9.0;0.0;3.0;0.0;0.0;36.0;7.0;9.0;1.0;2.0;3.0;1.0;5.0;1.0;12.0;11.0;120.0;250350
250355 Cacimbas;1.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;25.0;3.0;47.0;250355
250360 Caiçara;1.0;6.0;0.0;8.0;0.0;0.0;0.0;0.0;18.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;2.0;57.0;250360
250370 Cajazeiras;20.0;71.0;4.0;42.0;6.0;18.0;0.0;0.0;86.0;51.0;20.0;1.0;0.0;15.0;0.0;8.0;8.0;77.0;42.0;469.0;250370
250375 Cajazeirinhas;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;16.0;250375
250380 Caldas Brandăo;1.0;5.0;1.0;4.0;0.0;0.0;0.0;0.0;12.0;5.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;8.0;43.0;250380
250390 Camalaú;0.0;6.0;0.0;9.0;1.0;0.0;0.0;0.0;9.0;3.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;5.0;6.0;43.0;250390
250400 Campina Grande;69.0;485.0;17.0;341.0;41.0;97.0;1.0;1.0;770.0;241.0;142.0;7.0;30.0;144.0;2.0;47.0;32.0;69.0;311.0;2847.0;250400
